[001] Training Loss = 0.0001939193405657 | Validation Loss = 0.0001900224071283 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.664633
[002] Training Loss = 0.0001887697596835 | Validation Loss = 0.0001894446602234 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.261835
[003] Training Loss = 0.0001884377642574 | Validation Loss = 0.0001892615785966 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.254765
[004] Training Loss = 0.0001882318097302 | Validation Loss = 0.0001893945703140 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.246345
[005] Training Loss = 0.0001881032315075 | Validation Loss = 0.0001890229225159 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.262922
[006] Training Loss = 0.0001879243825236 | Validation Loss = 0.0001889462113380 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.248898
[007] Training Loss = 0.0001869967567615 | Validation Loss = 0.0001849802842507 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.264961
[008] Training Loss = 0.0001655271907647 | Validation Loss = 0.0001289850418384 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.252101
[009] Training Loss = 0.0001034789522744 | Validation Loss = 0.0000451122050102 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.243739
[010] Training Loss = 0.0000368718578711 | Validation Loss = 0.0000024072231868 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.240817
[011] Training Loss = 0.0000085506924834 | Validation Loss = 0.0000006114401496 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.239427
[012] Training Loss = 0.0000044432051321 | Validation Loss = 0.0000002537811569 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.230594
[013] Training Loss = 0.0000028341595378 | Validation Loss = 0.0000003070450571 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.226824
[014] Training Loss = 0.0000021531638283 | Validation Loss = 0.0000002249097472 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.240965
[015] Training Loss = 0.0000016163436346 | Validation Loss = 0.0000001534077124 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.228145
[016] Training Loss = 0.0000013432202479 | Validation Loss = 0.0000001154073264 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.225055
[017] Training Loss = 0.0000011300356348 | Validation Loss = 0.0000001023490632 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.225263
[018] Training Loss = 0.0000009865844230 | Validation Loss = 0.0000000417765916 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.218596
[019] Training Loss = 0.0000008661944841 | Validation Loss = 0.0000000373279676 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.221121
[020] Training Loss = 0.0000007247848610 | Validation Loss = 0.0000000415262508 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.221421
[021] Training Loss = 0.0000006433631327 | Validation Loss = 0.0000000359190358 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.239131
[022] Training Loss = 0.0000006491232188 | Validation Loss = 0.0000000548170534 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.226475
[023] Training Loss = 0.0000006542965400 | Validation Loss = 0.0000000123564756 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.239840
[024] Training Loss = 0.0000006409675878 | Validation Loss = 0.0000000771716975 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.229597
[025] Training Loss = 0.0000005106862693 | Validation Loss = 0.0000000233057621 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.242961
[026] Training Loss = 0.0000004667659197 | Validation Loss = 0.0000000451425894 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.250642
[027] Training Loss = 0.0000005220886529 | Validation Loss = 0.0000000558082514 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.241507
[028] Training Loss = 0.0000002830414389 | Validation Loss = 0.0000000042922421 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.225464
[029] Training Loss = 0.0000002896253559 | Validation Loss = 0.0000000137030501 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.204991
[030] Training Loss = 0.0000002917772838 | Validation Loss = 0.0000000168604925 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.217830
[031] Training Loss = 0.0000002950669978 | Validation Loss = 0.0000000481001630 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.217924
[032] Training Loss = 0.0000003268068658 | Validation Loss = 0.0000000487717199 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.220113
[033] Training Loss = 0.0000002025886383 | Validation Loss = 0.0000000081646168 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.218060
[034] Training Loss = 0.0000001531062395 | Validation Loss = 0.0000000105014999 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.216702
[035] Training Loss = 0.0000001703753181 | Validation Loss = 0.0000000237763488 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.219077
[036] Training Loss = 0.0000001809491905 | Validation Loss = 0.0000000109063765 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.217250
[037] Training Loss = 0.0000001170770965 | Validation Loss = 0.0000000033957816 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.215495
[038] Training Loss = 0.0000000966826403 | Validation Loss = 0.0000000034688482 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.199350
[039] Training Loss = 0.0000001328569097 | Validation Loss = 0.0000000027556127 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.213231
[040] Training Loss = 0.0000001664033098 | Validation Loss = 0.0000000049542711 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.226617
[041] Training Loss = 0.0000001379010570 | Validation Loss = 0.0000000085251511 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.236447
[042] Training Loss = 0.0000001449966691 | Validation Loss = 0.0000000029087365 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.239352
[043] Training Loss = 0.0000001456607102 | Validation Loss = 0.0000000060315184 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.241836
[044] Training Loss = 0.0000000778859152 | Validation Loss = 0.0000000031607532 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.240219
[045] Training Loss = 0.0000001005280321 | Validation Loss = 0.0000000016494851 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.241318
[046] Training Loss = 0.0000000823557435 | Validation Loss = 0.0000000052299892 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.220857
[047] Training Loss = 0.0000001095291803 | Validation Loss = 0.0000000033920744 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.232581
[048] Training Loss = 0.0000000867312407 | Validation Loss = 0.0000000038318858 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.236053
[049] Training Loss = 0.0000001264165799 | Validation Loss = 0.0000000071395111 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.240723
[050] Training Loss = 0.0000000688134531 | Validation Loss = 0.0000000019969824 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.240440
[051] Training Loss = 0.0000000675970692 | Validation Loss = 0.0000000025106585 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.217500
[052] Training Loss = 0.0000000593224843 | Validation Loss = 0.0000000039621846 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.219787
[053] Training Loss = 0.0000000606027854 | Validation Loss = 0.0000000026307353 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.218888
[054] Training Loss = 0.0000000542594199 | Validation Loss = 0.0000000010023112 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.220250
[055] Training Loss = 0.0000000513524124 | Validation Loss = 0.0000000009985267 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.208790
[056] Training Loss = 0.0000000462042172 | Validation Loss = 0.0000000008262065 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.206213
[057] Training Loss = 0.0000000373024655 | Validation Loss = 0.0000000009915559 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.192459
[058] Training Loss = 0.0000000446689883 | Validation Loss = 0.0000000008640118 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.216827
[059] Training Loss = 0.0000000381026810 | Validation Loss = 0.0000000012006259 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.219496
[060] Training Loss = 0.0000000449314499 | Validation Loss = 0.0000000052580070 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.211904
[061] Training Loss = 0.0000000292012055 | Validation Loss = 0.0000000007894381 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.200362
[062] Training Loss = 0.0000000336437287 | Validation Loss = 0.0000000007279025 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.184246
[063] Training Loss = 0.0000000406899347 | Validation Loss = 0.0000000007693734 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.202991
[064] Training Loss = 0.0000000374844089 | Validation Loss = 0.0000000007449440 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.220189
[065] Training Loss = 0.0000000285368921 | Validation Loss = 0.0000000019448259 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.218812
[066] Training Loss = 0.0000000303250994 | Validation Loss = 0.0000000053139963 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.196663
[067] Training Loss = 0.0000000255947317 | Validation Loss = 0.0000000006556892 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.199178
[068] Training Loss = 0.0000000232635552 | Validation Loss = 0.0000000005760972 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.180513
[069] Training Loss = 0.0000000282896936 | Validation Loss = 0.0000000006206174 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.201907
[070] Training Loss = 0.0000000185821878 | Validation Loss = 0.0000000005361914 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.218111
[071] Training Loss = 0.0000000237780350 | Validation Loss = 0.0000000005727814 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.205874
[072] Training Loss = 0.0000000251151803 | Validation Loss = 0.0000000005523891 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.222726
[073] Training Loss = 0.0000000348471282 | Validation Loss = 0.0000000006257887 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.218567
[074] Training Loss = 0.0000000331636537 | Validation Loss = 0.0000000005556622 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:13.205144
[075] Training Loss = 0.0000000208779533 | Validation Loss = 0.0000000005668576 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:13.207605
[076] Training Loss = 0.0000000223411789 | Validation Loss = 0.0000000004865162 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:13.207689
[077] Training Loss = 0.0000000304019863 | Validation Loss = 0.0000000005014467 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:13.186483
[078] Training Loss = 0.0000000228776506 | Validation Loss = 0.0000000054368740 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:13.198948
[079] Training Loss = 0.0000000301484841 | Validation Loss = 0.0000000012106256 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:13.207957
[080] Training Loss = 0.0000000247927907 | Validation Loss = 0.0000000047463008 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:13.210368
[081] Training Loss = 0.0000000235657001 | Validation Loss = 0.0000000054523336 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:13.211402
[082] Training Loss = 0.0000000119611243 | Validation Loss = 0.0000000020403786 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:13.215548
[083] Training Loss = 0.0000000124490973 | Validation Loss = 0.0000000004028533 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:13.219585
[084] Training Loss = 0.0000000137578665 | Validation Loss = 0.0000000016697669 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:13.204718
[085] Training Loss = 0.0000000161988900 | Validation Loss = 0.0000000036770823 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:13.216789
[086] Training Loss = 0.0000000134300383 | Validation Loss = 0.0000000039458089 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:13.216852
[087] Training Loss = 0.0000000184744123 | Validation Loss = 0.0000000009754002 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.207303
[088] Training Loss = 0.0000000177388478 | Validation Loss = 0.0000000005378441 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.216059
[089] Training Loss = 0.0000000123538968 | Validation Loss = 0.0000000013440126 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.214420
[090] Training Loss = 0.0000000147214730 | Validation Loss = 0.0000000004018149 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.219154
[091] Training Loss = 0.0000000131539686 | Validation Loss = 0.0000000003851982 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.198063
[092] Training Loss = 0.0000000148503578 | Validation Loss = 0.0000000008167035 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.186811
[093] Training Loss = 0.0000000141207958 | Validation Loss = 0.0000000003658588 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.198339
[094] Training Loss = 0.0000000106387725 | Validation Loss = 0.0000000004466347 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.180501
[095] Training Loss = 0.0000000144050281 | Validation Loss = 0.0000000024784109 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.197673
[096] Training Loss = 0.0000000098066211 | Validation Loss = 0.0000000003498220 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.202712
[097] Training Loss = 0.0000000181516767 | Validation Loss = 0.0000000003702237 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.185207
[098] Training Loss = 0.0000000172840294 | Validation Loss = 0.0000000003788666 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.199274
[099] Training Loss = 0.0000000225789622 | Validation Loss = 0.0000000004110656 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:13.208636
[100] Training Loss = 0.0000000124168190 | Validation Loss = 0.0000000003724879 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:00:13.217632
Maximum Number of Epochs Reached.
