[001] Training Loss = 0.9851139617697995 | Validation Loss = 0.9446336569295898 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.334780
[002] Training Loss = 0.9445083205418598 | Validation Loss = 0.9408994155176011 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.133776
[003] Training Loss = 0.9376746299356968 | Validation Loss = 0.9321073917655017 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.147809
[004] Training Loss = 0.9248348597780462 | Validation Loss = 0.9148865250025101 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.176299
[005] Training Loss = 0.9044627691385129 | Validation Loss = 0.8843511599238716 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.161968
[006] Training Loss = 0.8688715750470046 | Validation Loss = 0.8090122116558153 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.141073
[007] Training Loss = 0.6845487652369695 | Validation Loss = 0.4027920430446744 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.152784
[008] Training Loss = 0.3286960282950704 | Validation Loss = 0.0562736706022854 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.158556
[009] Training Loss = 0.1156475927506428 | Validation Loss = 0.0165101329596293 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.204683
[010] Training Loss = 0.0524049609329676 | Validation Loss = 0.0094273130964445 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.153417
[011] Training Loss = 0.0337290768261923 | Validation Loss = 0.0070681273246219 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.144419
[012] Training Loss = 0.0254012794363700 | Validation Loss = 0.0081461240089259 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.099230
[013] Training Loss = 0.0212512328941049 | Validation Loss = 0.0047345654705170 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.152042
[014] Training Loss = 0.0174239670779273 | Validation Loss = 0.0030684989175559 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.183392
[015] Training Loss = 0.0154259926009124 | Validation Loss = 0.0056496807044424 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.163466
[016] Training Loss = 0.0134175231175591 | Validation Loss = 0.0023762565471815 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.157132
[017] Training Loss = 0.0135052143869558 | Validation Loss = 0.0031300160394071 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.148052
[018] Training Loss = 0.0107928109705231 | Validation Loss = 0.0022148229580407 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.134631
[019] Training Loss = 0.0109498630093751 | Validation Loss = 0.0037042872847373 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.154930
[020] Training Loss = 0.0103780737580865 | Validation Loss = 0.0022411481198425 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.134329
[021] Training Loss = 0.0094146393599297 | Validation Loss = 0.0014828974827889 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.174849
[022] Training Loss = 0.0084454029797929 | Validation Loss = 0.0052943443145068 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.168913
[023] Training Loss = 0.0084624578990258 | Validation Loss = 0.0025082024867201 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.113664
[024] Training Loss = 0.0084034919385917 | Validation Loss = 0.0020571615756641 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.156394
[025] Training Loss = 0.0072730072171105 | Validation Loss = 0.0012639513068892 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.156207
[026] Training Loss = 0.0060773059033104 | Validation Loss = 0.0032306209734814 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.149226
[027] Training Loss = 0.0070742306921466 | Validation Loss = 0.0060810505433914 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.145565
[028] Training Loss = 0.0066725214375376 | Validation Loss = 0.0014170206108549 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.189328
[029] Training Loss = 0.0058291231016623 | Validation Loss = 0.0006171010206625 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.151574
[030] Training Loss = 0.0063840553036921 | Validation Loss = 0.0022008290382971 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.154811
[031] Training Loss = 0.0056523763357825 | Validation Loss = 0.0035003732069115 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.155059
[032] Training Loss = 0.0044357192203643 | Validation Loss = 0.0006655952722251 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.141257
[033] Training Loss = 0.0050840049058310 | Validation Loss = 0.0004287311673075 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.153100
[034] Training Loss = 0.0053998364065061 | Validation Loss = 0.0011786676521287 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.200615
[035] Training Loss = 0.0045098652373453 | Validation Loss = 0.0013549627603744 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.149894
[036] Training Loss = 0.0051983748288212 | Validation Loss = 0.0032087392970800 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:06.146783
[037] Training Loss = 0.0056911085159853 | Validation Loss = 0.0016365685186418 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:06.145241
[038] Training Loss = 0.0029952726272594 | Validation Loss = 0.0011861476606837 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:06.147930
[039] Training Loss = 0.0030361993639768 | Validation Loss = 0.0006774973619280 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:06.152215
[040] Training Loss = 0.0031340180818751 | Validation Loss = 0.0016228818054374 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:06.158708
[041] Training Loss = 0.0025188816550036 | Validation Loss = 0.0004297551431586 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:06.136344
[042] Training Loss = 0.0020994035272226 | Validation Loss = 0.0006517824249213 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:06.203322
[043] Training Loss = 0.0023068635916790 | Validation Loss = 0.0002206967733925 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:06.154253
[044] Training Loss = 0.0021148377193291 | Validation Loss = 0.0002571980778294 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:06.139441
[045] Training Loss = 0.0020807149290522 | Validation Loss = 0.0005146715618472 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:06.156655
[046] Training Loss = 0.0015958166152158 | Validation Loss = 0.0013588703630098 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:06.147686
[047] Training Loss = 0.0017583686374635 | Validation Loss = 0.0012694320917380 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.142425
[048] Training Loss = 0.0011992684408078 | Validation Loss = 0.0002352297461991 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.145112
[049] Training Loss = 0.0012012329422847 | Validation Loss = 0.0004680586525294 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.178026
[050] Training Loss = 0.0011313787696385 | Validation Loss = 0.0002120651083076 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.145758
[051] Training Loss = 0.0011560379343773 | Validation Loss = 0.0005534078010654 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.143076
[052] Training Loss = 0.0013114741987536 | Validation Loss = 0.0005189768174566 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.150673
[053] Training Loss = 0.0016194459781911 | Validation Loss = 0.0000348222833414 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.028737
[054] Training Loss = 0.0014050466648615 | Validation Loss = 0.0006016892481245 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.062471
[055] Training Loss = 0.0011834347176880 | Validation Loss = 0.0004180591417838 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.062380
[056] Training Loss = 0.0018248486931611 | Validation Loss = 0.0001519017099553 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:06.105222
[057] Training Loss = 0.0009257376129474 | Validation Loss = 0.0000398305395340 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.060848
[058] Training Loss = 0.0007243427708539 | Validation Loss = 0.0003505243267457 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.065391
[059] Training Loss = 0.0005383624655262 | Validation Loss = 0.0000090117442141 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.068703
[060] Training Loss = 0.0003372992828419 | Validation Loss = 0.0002821179769785 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.066731
[061] Training Loss = 0.0004844476975123 | Validation Loss = 0.0003111850000124 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.058547
[062] Training Loss = 0.0005326399906761 | Validation Loss = 0.0011055123213963 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.064421
[063] Training Loss = 0.0003286610034505 | Validation Loss = 0.0000053851662886 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.058670
[064] Training Loss = 0.0003955694520538 | Validation Loss = 0.0000051047030516 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.098505
[065] Training Loss = 0.0006671748964815 | Validation Loss = 0.0011821733325735 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.069891
[066] Training Loss = 0.0009669962870001 | Validation Loss = 0.0004754279093155 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.063201
[067] Training Loss = 0.0011060578526129 | Validation Loss = 0.0000050358568790 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.073598
[068] Training Loss = 0.0003088444461047 | Validation Loss = 0.0000044408942795 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.065754
[069] Training Loss = 0.0004229271437360 | Validation Loss = 0.0007790226257501 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.065247
[070] Training Loss = 0.0005928463169660 | Validation Loss = 0.0003905145154983 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:06.095032
